Time,Data
15:25:48.784,60.34
15:25:52.978,62.08
15:25:57.172,59.76
15:26:01.374,60.34
15:26:05.575,58.60
15:26:09.769,60.34
15:26:13.972,59.76
15:26:18.170,59.18
15:26:22.341,59.76
15:26:26.539,60.92
15:26:30.734,59.76
15:26:34.931,61.50
15:26:39.117,59.76
15:26:43.313,59.18
15:26:47.518,60.34
15:26:51.722,58.60
15:26:55.886,59.18
15:27:00.082,58.60
15:27:04.308,59.76
15:27:08.472,60.34
15:27:12.678,59.18
15:27:16.871,62.08
15:27:21.083,59.76
15:27:25.254,58.60
15:27:29.457,59.18
15:27:33.655,59.76
15:27:37.828,59.18
15:27:42.025,59.18
15:27:46.229,59.76
15:27:50.437,60.34
15:27:54.637,59.18
15:27:58.799,60.34
15:28:02.999,61.50
15:28:07.207,60.34
15:28:11.396,59.76
15:28:15.608,60.92
15:28:19.768,59.18
15:28:23.973,59.18
15:28:28.173,59.76
15:28:32.370,59.76
15:28:36.571,62.66
15:28:40.744,59.76
15:28:44.936,59.76
15:28:49.130,60.34
15:28:53.332,59.18
15:28:57.528,59.18
15:29:01.729,59.18
15:29:05.931,60.34
15:29:10.105,60.34
15:29:14.307,58.60
15:29:18.510,63.24
15:29:22.712,59.76
15:29:23.524,59.76
15:29:26.874,59.18
15:29:31.071,56.28
15:29:35.264,54.54
15:29:39.468,53.37
15:29:43.670,52.79
15:29:47.870,50.47
15:29:52.058,49.89
15:29:56.255,50.47
15:36:17.865,29.01
15:36:22.070,27.27
15:36:26.263,27.85
15:36:30.451,29.01
15:36:34.656,27.27
15:36:38.825,26.69
15:36:43.025,27.85
15:36:47.233,27.85
15:36:51.429,27.85
15:36:55.602,27.85
15:36:59.803,27.27
15:37:03.995,27.27
15:37:08.203,26.69
15:37:12.399,26.69
15:37:16.560,26.69
15:37:20.769,27.85
15:37:24.962,26.11
15:37:29.155,26.69
15:37:33.356,27.27
15:37:37.560,27.85
15:37:41.733,26.11
15:37:45.934,26.11
15:37:50.132,26.11
15:37:54.301,24.95
15:37:58.502,24.95
15:38:02.710,24.95
15:38:06.904,23.79
15:38:11.077,24.37
15:38:11.114,23.79
15:38:11.114,23.79
15:38:11.114,23.21
15:38:11.114,24.37
15:38:11.114,24.37
15:38:11.141,24.95
15:38:11.141,24.37
15:38:11.141,24.95
15:38:11.141,23.79
15:38:11.174,25.53
15:38:11.174,23.21
15:38:11.174,23.21
15:38:11.174,24.37
15:38:11.174,23.21
15:38:11.206,24.37
15:38:11.206,24.37
15:38:11.206,22.63
15:38:11.206,22.63
15:38:11.238,24.95
15:38:11.238,23.21
15:38:11.238,23.79
15:38:11.238,23.21
15:38:11.238,24.37
15:38:11.270,22.63
15:38:11.270,23.21
15:38:11.270,24.95
15:38:11.270,23.79
15:38:11.303,24.37
15:38:11.303,24.37
15:38:11.303,24.37
15:38:11.303,24.95
15:38:11.336,24.37
15:38:11.336,24.95
15:38:11.336,24.37
15:38:16.264,24.95
15:38:16.264,24.37
15:38:16.264,23.21
15:38:16.264,23.79
15:38:16.296,24.37
15:38:16.296,25.53
15:38:16.296,23.79
15:38:16.296,23.79
15:38:16.329,23.79
15:38:16.329,23.21
15:38:16.329,23.79
15:38:16.329,23.79
15:38:16.329,24.37
15:38:16.362,24.37
15:38:16.362,24.37
15:38:16.362,24.37
15:38:16.362,23.21
15:38:16.394,25.53
15:38:16.394,23.79
15:38:16.394,23.21
15:38:16.394,24.37
15:38:16.394,23.79
15:38:16.427,23.79
15:38:16.427,25.53
15:38:16.427,24.37
15:38:16.427,24.37
15:38:16.460,23.79
15:38:16.460,23.21
15:38:16.460,24.95
15:38:16.460,22.63
15:38:16.460,23.21
15:38:16.493,23.21
15:38:16.493,23.21
15:38:16.493,23.21
15:38:16.493,24.37
15:38:16.526,23.21
15:38:16.526,24.95
15:38:16.526,23.21
15:38:16.526,25.53
15:38:16.526,24.37
15:38:16.557,23.79
15:38:16.557,25.53
15:38:16.557,23.79
15:38:16.557,23.21
15:38:16.590,23.79
15:38:16.590,23.21
15:38:16.590,24.37
15:38:16.590,22.63
15:38:16.590,24.37
15:38:16.622,24.37
15:38:16.622,22.05
15:38:16.622,22.63
15:38:16.622,24.37
15:38:16.654,23.79
15:38:16.654,23.21
15:38:16.654,22.63
15:38:16.654,23.79
15:38:16.654,23.79
15:38:16.687,22.63
15:38:16.687,24.95
15:38:16.687,23.21
15:38:16.687,22.05
15:38:16.719,23.79
15:38:16.719,23.79
15:38:16.719,23.79
15:38:16.719,24.37
15:38:16.719,23.79
15:38:16.751,24.95
15:38:16.751,24.37
15:38:16.751,23.79
15:38:16.751,23.79
15:38:16.784,24.37
15:38:16.784,23.21
15:38:16.784,23.21
15:38:16.784,23.21
15:38:16.816,22.63
15:38:16.816,23.79
15:38:16.816,23.21
15:38:26.437,22.63
15:38:26.437,23.21
15:38:26.437,23.21
15:38:26.437,22.63
15:38:26.437,23.79
15:38:26.470,22.63
15:38:26.470,24.95
15:38:26.470,22.63
15:38:26.470,23.79
15:38:26.503,22.05
15:38:26.503,22.63
15:38:26.503,22.63
15:38:26.503,24.37
15:38:26.503,24.95
15:38:26.536,22.05
15:38:26.536,23.21
15:38:26.536,23.79
15:38:26.536,22.05
15:38:26.568,21.47
15:38:26.568,23.21
15:38:26.568,22.63
15:38:26.568,22.05
15:38:26.568,23.21
15:38:26.601,23.79
15:38:26.601,24.95
15:38:26.601,23.79
15:38:26.601,23.79
15:38:26.634,23.21
15:38:26.634,22.05
15:38:26.634,23.21
15:38:26.634,23.21
15:38:26.634,23.21
15:38:26.667,23.79
15:38:26.667,23.79
15:38:26.667,22.63
15:38:26.667,24.37
15:38:26.700,22.63
15:38:26.700,23.79
15:38:26.700,22.63
15:38:26.700,22.05
15:38:26.700,23.79
15:38:26.733,22.63
15:38:26.733,23.21
15:38:26.733,23.21
15:38:26.733,24.37
15:38:26.733,23.21
15:38:26.765,23.21
15:38:26.765,23.79
15:38:26.765,22.05
15:38:26.765,23.21
15:38:26.798,23.79
15:38:26.798,22.63
15:38:26.798,23.21
15:38:26.798,22.63
15:38:26.830,23.79
15:38:26.830,22.63
15:38:26.830,22.63
15:38:26.830,23.21
15:38:26.830,23.21
15:38:26.862,22.05
15:38:26.862,23.79
15:38:26.862,23.79
15:38:26.862,22.63
15:38:26.895,22.63
15:38:26.895,24.37
15:38:26.895,23.79
15:38:26.895,24.37
15:38:26.895,22.63
15:38:26.927,23.21
15:38:26.927,22.05
15:38:26.927,22.63
15:38:26.927,24.37
15:38:26.959,23.79
15:38:49.239,22.63
15:38:49.239,22.63
15:38:49.239,22.05
15:38:49.239,21.47
15:38:49.272,22.05
15:38:49.272,22.05
15:38:49.272,22.63
15:38:49.272,21.47
15:38:49.272,21.47
15:38:49.304,21.47
15:38:49.304,22.05
15:38:49.304,22.05
15:38:49.304,21.47
15:38:49.337,23.21
15:38:49.337,22.05
15:38:49.337,23.21
15:38:49.337,23.21
15:38:49.337,20.89
15:38:49.370,21.47
15:38:49.370,22.63
15:38:49.370,22.05
15:38:49.370,22.05
15:38:49.370,20.89
15:38:49.402,22.63
15:38:49.402,21.47
15:38:49.402,22.05
15:38:49.402,20.89
15:38:49.435,22.05
15:38:49.435,21.47
15:38:49.435,22.05
15:38:49.435,22.05
15:38:49.468,22.05
15:38:49.468,20.89
15:38:49.468,22.05
15:38:49.468,21.47
15:38:49.468,20.89
15:38:49.501,20.89
15:38:49.501,21.47
15:38:49.501,23.21
15:38:49.501,21.47
15:38:49.501,22.63
15:38:49.534,22.05
15:38:49.534,22.05
15:38:49.534,23.21
15:38:49.534,21.47
15:38:49.566,23.79
15:38:49.566,22.63
15:38:49.566,20.89
15:38:49.566,22.63
15:38:49.599,21.47
15:38:49.599,20.89
15:38:49.599,24.37
15:38:49.599,23.21
15:38:49.599,22.05
15:38:49.632,22.05
15:38:49.632,22.05
15:38:49.632,22.63
15:38:49.632,21.47
15:38:49.665,23.21
15:38:49.665,21.47
15:38:49.665,22.05
15:38:49.665,21.47
15:38:49.665,22.63
15:38:49.698,20.89
15:38:49.698,22.63
15:38:49.698,22.63
15:38:49.698,22.05
15:38:49.730,21.47
15:38:49.730,22.63
15:38:49.730,23.79
15:38:49.730,22.63
15:38:49.730,22.63
15:38:49.763,20.89
15:38:49.763,21.47
15:38:49.763,22.05
15:38:49.763,20.89
15:38:49.796,21.47
15:38:53.759,22.63
15:38:53.759,22.63
15:38:53.759,21.47
15:38:53.792,22.63
15:38:53.792,21.47
15:38:53.792,20.89
15:38:53.792,22.05
15:38:53.823,22.63
15:38:53.823,21.47
15:38:53.823,23.21
15:38:53.823,23.21
15:38:53.823,22.05
15:38:53.856,21.47
15:38:53.856,22.05
15:38:53.856,22.05
15:38:53.856,22.05
15:38:53.889,21.47
15:38:53.889,21.47
15:38:53.889,21.47
15:38:53.889,20.89
15:38:53.889,22.63
15:38:53.920,23.21
15:38:53.921,22.63
15:38:53.921,20.89
15:38:53.921,22.63
15:38:53.953,22.05
15:38:53.953,22.05
15:38:53.953,23.79
15:38:53.953,23.21
15:38:53.986,21.47
15:38:53.986,20.89
15:38:53.986,23.79
15:38:53.986,22.05
15:38:53.986,22.63
15:38:54.019,21.47
15:38:54.019,22.05
15:38:54.019,21.47
15:38:54.019,22.05
15:38:54.051,22.05
15:38:54.051,23.79
15:38:54.051,20.89
15:38:54.051,22.63
15:38:54.051,22.63
15:38:54.084,21.47
15:38:54.084,22.63
15:38:54.084,23.21
15:38:54.084,21.47
15:38:54.117,22.05
15:38:54.117,22.05
15:38:54.117,20.31
15:38:54.117,22.05
15:38:54.117,22.63
15:38:54.150,22.63
15:38:54.150,20.89
15:38:54.150,23.21
15:38:54.150,22.05
15:38:54.182,22.63
15:38:54.182,23.79
15:38:54.182,21.47
15:38:54.182,22.05
15:38:54.182,22.05
15:38:54.215,20.89
15:38:54.215,22.63
15:38:54.215,23.21
15:38:54.215,20.89
15:38:54.248,22.05
15:38:54.248,22.05
15:38:54.248,22.05
15:38:54.248,20.89
15:38:54.248,22.63
15:38:54.281,21.47
15:39:03.541,20.89
15:39:03.541,20.89
15:39:03.541,20.89
15:39:03.574,20.89
15:39:03.574,21.47
15:39:03.574,20.31
15:39:03.574,22.05
15:39:03.607,20.31
15:39:03.607,20.89
15:39:03.607,21.47
15:39:03.607,22.63
15:39:03.607,21.47
15:39:03.640,20.89
15:39:03.640,20.89
15:39:03.640,23.21
15:39:03.640,22.63
15:39:03.672,20.89
15:39:03.672,20.31
15:39:03.672,21.47
15:39:03.672,20.89
15:39:03.672,20.31
15:39:03.705,21.47
15:39:03.705,20.89
15:39:03.705,20.31
15:39:03.705,22.05
15:39:03.705,22.63
15:39:03.738,22.05
15:39:03.738,21.47
15:39:03.738,20.89
15:39:03.738,21.47
15:39:03.770,20.89
15:39:03.770,21.47
15:39:03.770,22.63
15:39:03.770,22.05
15:39:03.803,21.47
15:39:03.803,22.05
15:39:03.803,20.89
15:39:03.803,22.05
15:39:03.803,22.05
15:39:03.835,21.47
15:39:03.835,20.89
15:39:03.835,20.31
15:39:03.835,22.05
15:39:03.867,22.05
15:39:03.867,19.73
15:39:03.867,21.47
15:39:03.867,21.47
15:39:03.867,20.89
15:39:03.900,22.05
15:39:03.900,22.63
15:39:03.900,22.63
15:39:03.900,20.89
15:39:03.933,22.63
15:39:03.933,21.47
15:39:03.933,21.47
15:39:03.933,21.47
15:39:03.933,21.47
15:39:03.964,20.31
15:39:03.964,21.47
